SiO2,TiO2,Al2O3,Cr2O3,FeO,NiO,MnO,MgO,CaO,BaO,Na2O,K2O,P2O5,SO3,F,Cl,O,H2O
45.4918,1.10194,8.78134,0.047962,11.9716,0.01555,0.260235,15.1724,11.2014,0.002473,1.80358,0.416131,0.031504,0.008414,0.116661,0.058196,-0.06227,2
42.4338,3.12201,10.3341,0.055642,11.2634,-0.00455,0.23827,14.4643,11.1198,-0.00359,2.6016,0.406004,0.038197,0.023704,0.128252,0.040082,-0.06305,2
51.3446,0.383937,1.93862,0.013875,7.45061,0.00071,0.327915,15.3904,20.7042,0.010119,0.34824,0.036679,0.011629,0.023296,0.027393,0.012847,-0.01443,2
52.5505,0.314142,1.55952,-0.00541,15.7637,-0.02657,0.695649,25.7547,1.32433,-0.00256,0.017042,0.006078,0.019865,0.014332,-0.03129,0.006563,0.011703,2
52.7869,0.306919,1.62485,0.001039,15.8482,-0.00054,0.72049,25.1886,1.35775,0.02809,0.052041,0.040131,0.012305,0.017124,-0.03066,0.006956,0.011337,2
46.2238,1.51192,7.84107,-0.01172,11.4224,-0.01417,0.356375,15.5939,10.9434,0.02282,1.76402,0.289752,0.008486,-0.00998,0.086501,0.043287,-0.0462,2
47.1513,1.482,6.85087,0.003231,11.0139,0.01689,0.33586,15.8879,11.0762,-0.0019,1.5809,0.238406,0.015972,-0.00539,0.104123,0.028038,-0.05017,2
47.1806,1.24892,7.09192,0.00097,11.1627,-0.00032,0.396964,16.1882,10.9676,0.02004,1.63668,0.248357,0.024711,-0.00687,0.087399,0.046527,-0.04731,2
46.1564,1.97236,7.90247,0.017566,10.9758,0.010567,0.262489,15.48,11.2974,0.001133,1.83122,0.317188,0.018581,-0.01867,0.070321,0.040133,-0.03866,2
46.4493,1.60094,7.50818,-0.00543,11.4361,-0.01083,0.389328,15.7966,10.855,0.010643,1.71587,0.246707,0.030352,-0.00998,0.090495,0.036403,-0.04633,2
46.0665,1.70163,7.48845,0.001429,11.525,-0.02669,0.378205,15.4508,10.9831,0.011785,1.67714,0.266108,0.022829,0.001305,0.075139,0.036215,-0.03981,2
42.4757,1.97151,10.7769,0.025614,13.3506,-0.00389,0.296477,13.5633,10.9457,-0.00918,2.18433,0.462212,0.028959,-0.01148,0.051277,0.0355,-0.0296,2
45.5336,1.52404,8.05049,0.006174,11.6371,-0.00374,0.371501,15.2079,11.1288,0.013582,1.84124,0.302246,0.022771,-0.00308,0.082339,0.038538,-0.04337,2
